Vaccine 5G_unscaled,Vaccine 5G_monthly,isPartial,scale,Vaccine 5G,plandemic_unscaled,plandemic_monthly,isPartial,scale,plandemic,anti mask_unscaled,anti mask_monthly,isPartial,scale,anti mask,Great Reset_unscaled,Great Reset_monthly,isPartial,scale,Great Reset,Bill Gates Vaccine_unscaled,Bill Gates Vaccine_monthly,isPartial,scale,Bill Gates Vaccine
33,37.0,,0.37,12.209999999999999,68,1.0,,0.01,0.68,54,48.0,,0.48,25.919999999999998,68,40.0,,0.4,27.200000000000003,84,42.0,,0.42,35.28
52,37.0,,0.37,19.24,12,1.0,,0.01,0.12,51,48.0,,0.48,24.48,58,40.0,,0.4,23.200000000000003,65,42.0,,0.42,27.3
37,37.0,,0.37,13.69,38,1.0,,0.01,0.38,34,48.0,,0.48,16.32,77,40.0,,0.4,30.8,69,42.0,,0.42,28.98
56,38.0,False,0.38,21.28,64,1.0,False,0.01,0.64,51,39.0,False,0.39,19.89,92,39.0,False,0.39,35.88,40,21.0,False,0.21,8.4
17,38.0,,0.38,6.46,95,1.0,,0.01,0.9500000000000001,28,39.0,,0.39,10.92,90,39.0,,0.39,35.1,92,21.0,,0.21,19.32
68,38.0,,0.38,25.84,59,1.0,,0.01,0.59,31,39.0,,0.39,12.09,76,39.0,,0.39,29.64,74,21.0,,0.21,15.54
35,38.0,,0.38,13.3,60,1.0,,0.01,0.6,35,39.0,,0.39,13.65,65,39.0,,0.39,25.35,47,21.0,,0.21,9.87
0,38.0,,0.38,0.0,40,1.0,,0.01,0.4,14,39.0,,0.39,5.46,45,39.0,,0.39,17.55,31,21.0,,0.21,6.51
62,38.0,,0.38,23.56,57,1.0,,0.01,0.5700000000000001,53,39.0,,0.39,20.67,41,39.0,,0.39,15.99,44,21.0,,0.21,9.24
0,38.0,,0.38,0.0,26,1.0,,0.01,0.26,62,39.0,,0.39,24.18,56,39.0,,0.39,21.84,15,21.0,,0.21,3.15
18,27.0,False,0.27,4.86,100,1.0,False,0.01,1.0,40,46.0,False,0.46,18.400000000000002,51,35.0,False,0.35,17.849999999999998,58,24.0,False,0.24,13.92
0,27.0,,0.27,0.0,23,1.0,,0.01,0.23,52,46.0,,0.46,23.92,49,35.0,,0.35,17.15,86,24.0,,0.24,20.64
34,27.0,,0.27,9.18,48,1.0,,0.01,0.48,60,46.0,,0.46,27.6,55,35.0,,0.35,19.25,46,24.0,,0.24,11.04
52,27.0,,0.27,14.040000000000001,61,1.0,,0.01,0.61,100,46.0,,0.46,46.0,70,35.0,,0.35,24.5,42,24.0,,0.24,10.08
0,27.0,,0.27,0.0,64,1.0,,0.01,0.64,61,46.0,,0.46,28.060000000000002,52,35.0,,0.35,18.2,40,24.0,,0.24,9.6
0,27.0,,0.27,0.0,81,1.0,,0.01,0.81,51,46.0,,0.46,23.46,84,35.0,,0.35,29.4,100,24.0,,0.24,24.0
35,27.0,,0.27,9.450000000000001,50,1.0,,0.01,0.5,61,46.0,,0.46,28.060000000000002,72,35.0,,0.35,25.2,46,24.0,,0.24,11.04
